Original Text,Translated to English,Topic
Améliorer le niveau de vie,Improve the standard of living,politics
Weniger propaganda,Less propaganda,politics
Żadne,None,nothing
no estoy intetesada en su contenido a excepción de los datos que son relevantes en mi País.(cooperación de la UE con Panamá),I am not intended in its content except for the data that are relevant in my country (EU cooperation with Panama),eu
Spiegazione puntuale di cosa succede,Punctual explanation of what happens,survey
Tun tun oo,Tun tun,nothing
En osaa sanoa,I can not say,nothing
De kan vi nog,They can we nog,nothing
"Aktuální data, přesnější a detailnější informace","Current data, more accurate and more detailed information",information
Amerikanische Propaganda weglassen.,Leave out American propaganda.,politics
Des données beaucoup plus précises.,Much more precise data.,eu
Nieko,Nothing,nothing
"Die EU sollte endlich in die Luft gesprengt werden, dann braucht man diese Website soundso nicht mehr besuchen.","The EU should finally be blown up, then you no longer need to visit this website.",website
"Poder leerlo en español. No funciona la página en español, le das a ES y sigue en inglés.","Be able to read it in Spanish. The page does not work in Spanish, you give it and continue in English.",page
Nichts,Nothing,nothing
"Im dismayed at the pro-Israeli propaganda and the labelling of palestinians as ""terrorists"" and references to ""human shields,"" echoing the press statements of Israel","Im dismayed at the pro-Israeli propaganda and the labelling of palestinians as ""terrorists"" and references to ""human shields,"" echoing the press statements of Israel",politics
Schlagworte mit Suchergebnis,Keywords with a search result,politics
wyjebanie calego fit for 55 i wyjscie z unii komunistycznej,Fit for 55 and exit from the Communist Union,eu
"more substance and background, not just formal burocratic announcements","more substance and background, not just formal burocratic announcements",politics
Wyburzenie parlamentu europejskiego,Demolition of the European Parliament,eu
Nichts,Nothing,nothing
Niciuna,None,nothing
Je sais pas,I don't know,nothing
"Unios szankcoik feloldása mert akcio van a yandexen, de persze fizetni nem tudok sehogy se.....","Unios Uni Sanckois because there is an action on Yandex, but of course I can't pay at all .....",nothing
Żeby rządził PIS a nie Donald Tusk,"That PiS rule, not Donald Tusk",eu
Mehr Rücksicht auf die Interessen Nationalstaaten,More consideration of the interests of nation states,website
Mehr Welthunger,More world hunger,politics
se ci fosse maggior concretezza,If there was greater concreteness,politics
"više ilustracija, video obrade teksta s primjerima, infografika, razgovora s krajnjim korisnicima, obrade istraživanja eurobarometra u relevantni kontekst sadržaja stranice, itd","More illustrations, video processing with examples, infographics, end-user conversations, Eurobarometer research in the relevant context of page content, etc.",page
Es gibt keine EU,There is no EU,nothing
"zmiany na swiecie ,podejscie do problemu ludobojstwa w GAZIE","changes in the world, approach to the problem of people in Gaza",politics
Mehr Aufmerksamkeit auf die Website durch Werbung pp. Erregen,Attract more attention to the website by advertising pp.,website
Die Diskussionen und Entscheidungen auf EU ebene gehören in die Nachrichtensender und Talkshows. Und nicht erst wenn diese Beschlossen sind. Jede Entscheidung der EU muss in der Öffentlichkeit VORHER Diskutiert werden. DAS MACHT IHR LEIDER NICHT und dadurch ist die EU SEHR INTRANSPARENT.,"The discussions and decisions at the EU level belong in the news channels and talk shows. And not only when they have been decided. Every EU decision must be discussed in public beforehand. Unfortunately, you don't do that and the EU is very non -transparent.",eu
да удовлетворява нуждите ми за информация,to satisfy my information needs,information
Studiare una pagina più ergonomica con concetti chiari permeabili da tutti da un bambino ad un anziano. Da un malato ad un disoccupato. La complessità l'essere contorto è il muro che allontana l'Europa dal suo vero popolo.,Studying a more ergonomic page with clear concepts permeable by everyone from a child to an elderly person. From a patient to an unemployed. Complexity The twisted being is the wall that removes Europe from its true people.,page
meow,meow,nothing
"Διαφάνεια ως προς τη λήψη αποφάσεων να μην αλλάζει συχνά ως ιστότοπος διεύθυνση, καλύτερη οργάνωση υλικού","Transparency in decision making not frequently change as a address website, better material organization",website
Mer patriotiska förslag,More patriotic suggestions,eu
"seite sollte orientierter am nutzer sein, möglichkeit bei der umfrage ^^ich weiss nicht oder -keine aussage dazu ^^ zu geben. allein die arroganz bei der frage nach dem beruf! lehrer, mitarbeiter eu, sonst ist wohl keiner erwähnenswert?","Page should be oriented towards the user, possibility of the survey ^^ I do not know or not to give it ^^. The arrogance alone when asked about the job! Teacher, employee, EU, otherwise nobody is worth mentioning?",survey
Fuck eu,Fuck Me,nothing
good service,good service,politics
"Berufsbezeichnung , warum gibt es keine Angestellte , Arbeiter und des Gleichen ??????? Wenn wir nicht wären würde es euch nicht geben ......","Professional title, why are there no employees, workers and the same ??????? If we weren't, there would be no ......",survey
"les informations ne sont jamais présentées de manière exploitable. D'autre part, la commission et le parlement édicte des lois qui mettent en péril notre économie face aux états extérieurs de l'UE. Il serait bon que le site soit fait pour les utilisateurs et pas pour satisfaire je ne sais quels fonctionnaires européens ou soustraitant ami (les appels d'offres sont complètement biaisé)","The information is never presented in an usual manner. On the other hand, the Commission and the Parliament enacted laws which jeopardize our economy in the face of the external states of the EU. It would be good for the site to be done for users and not to satisfy I do not know which European officials or subtracting friend (calls for tenders are completely biased)",eu
Meine Interesse,My interest,website
"Sturz des Kapitalismus, einführen einer rätedemokratie und Abschaffen der Klassen","Fall of capitalism, introducing a council democracy and abolishing the classes",eu
"Auttamalla Ukrainaa,Moldovaa,ja Georgiaa pääsemään Natoon,ja EU:hun.","Helping Ukraine, Moldova, and Georgia to get to NATO, and the EU.",eu
Tylko PiS powinien być przy władzy w Polsce.,Only PiS should be in power in Poland.,eu
Nustiu,I do not know,nothing
"Poszukuje jedynie informacji do prezentacji, na ogół nie czytam w ogóle tego typu stron","I am only looking for information for the presentation, I usually don't read this type of pages at all",information
Stránky by měly být přehlednější,Pages should be clearer,page
Find ganz gut,Find quite well,politics
"Actualización de la información (documentos al día), mejor usabilidad de la pagina eliminando encales externos, asegurarse de que los links funcionan comprobándolos con regularidad. Plantearse el uso de un Chatbot.","Information update (documents per day), best usability of the page by eliminating external guns, ensure that links work by checking them regularly. Consider the use of a chatbot.",page
Prawda,,nothing
Übersichtlichkeit. Aber die EU an sich ist schon viel zu bürokratisch,Clearity. But the EU itself is much too bureaucratic,eu
De soutenir plus le peuple français et ne pas mettre l’euro numérique vous allez tout détruire,To support the French people more and not put the digital euro you will destroy everything,nothing
"Политиците да започнат да слушат избирателите си, а не американските си господари!","Politicians start listening to their voters, not their US masters!",eu
BIN NUR ZUFÄLLIG HIER HER GEKOMMEN,I only came here by chance,politics
"I guess I will wait until the EC understands that its energy policy, its environmentalism, is destroying Europe and not helping nature, rather the opposite. Germany is the best example of this. Currently, very little is enough to overtake Poland in terms of emissions. Environmentalism manifests itself in the same way as communism, I still remember it very well.","I guess I will wait until the EC understands that its energy policy, its environmentalism, is destroying Europe and not helping nature, rather the opposite. Germany is the best example of this. Currently, very little is enough to overtake Poland in terms of emissions. Environmentalism manifests itself in the same way as communism, I still remember it very well.",politics
bye bye,bye bye,nothing
Politica internationala,International policy,eu
Zrušiť EU,Cancel the EU,nothing
neznam parvi pat mi moje vmakne s darat mi,doesn't mean pari pat me my melts with giving me,politics
Więcej dotacji na rolnictwo w Polsce bo inne kraje dostają 3 a nawet 4 razy więcej a my cierpimy przez tą zwłaszcza nieròwną politykę UE.,More subsidies for agriculture in Poland because other countries get 3 or even 4 times more and we suffer from this especially unprofitable EU policy.,eu
"Straight answers. I wanted to know Russia's projected GDP for 2023. Instead, I got your site.","Straight answers. I wanted to know Russia's projected GDP for 2023. Instead, I got your site.",politics
Vyhodiť všetkých zamestnancov toho sídla,To throw away all the employees of that registered office,survey
EU should be destroyed as soon as possible.,EU should be destroyed as soon as possible.,nothing
Aucun Ni Si votre site encourageait àa paix,None if your site encouraged peace,eu
Delete,Delete,politics
mehr cocks,more cocks,eu
Die Website sollte sich an dem Informationsinteresse der Nutzer orientieren.,The website should be based on the user interest interest.,website
diese website ist so scheisse ohne spass sogar so eine komische fiona findet es so scheisse ich kann sie aber mit meiner schnellen finger sehr beeindrucken,This website is so shit without fun even such a strange fiona finds it so shit I can very impress it with my fast finger,website
I hae not understood yet what si the web about and now you ask to fill in survey)) + I do not know yet),I hae not understood yet what si the web about and now you ask to fill in survey)) + I do not know yet),survey
Fake News aussortieren,Sort out fake news,website
"Userfrindly, easyness","Userfrindly, easyness",politics
"zrušte EU a nemusíte řešit tyto nesmysly, migranty a ekologické zelené peklo. EU je v současnosti nepoužitelný kolos stejně jako dříve neschopná RVHP.","cancel the EU and do not have to deal with these nonsense, migrants and ecological green hell. The EU is currently an unusable colossus as well as the previously incapable of the Comecon.",politics
"No changes are expected, I will not come back","No changes are expected, I will not come back",politics
"Więcej informacji, odpowiednia prezentacja graficzna","More information, appropriate graphic presentation",information
Viel zu oberflächlich! Da kann ich auch auf Wikipedia gehen,Far too superficial! I can also go to Wikipedia,eu
Z,WITH,nothing
Mówienie prawdy,Telling the truth,nothing
Mettete l'italiano,Put the Italian,politics
You are not Intresting,You are not Intresting,nothing
Einstellen....,Set....,nothing
"Sie sollte funktionieren ,so dass man die eingestellten Dateien auch öffnen kann",It should work so that you can also open the set files,eu
"No tengo nidea de que hace esta web, sirve para algo?","I have no Nidea what this website does, is it for something?",website
prawda,,nothing
Objektive Information. So hat es den Anschein auf den ersten Blick als würde die Ukraine Weizen & Getreide ausschließlich bzw. fast ausschließlich nach Afrika senden.,"Objective information. At first glance, it appears that the Ukraine will send wheat & grain exclusively or almost exclusively to Africa.",information
IL faut sensibiliser la population et notamment les jeunes par exemples avec des intervenants au collège ou au lycée. Bien a vous Cordialement Manu le prés.,"The population must be made aware and in particular young people for example with stakeholders in college or high school. Well, cordially manu le meadows.",politics
Gérer la conneris,Manage Conneris,politics
es fehlen Inhalte,Contents are missing,website
I have visited the website of Estonia's E-residency and came here accidentally to learn about sanctions against Russian citizens,I have visited the website of Estonia's E-residency and came here accidentally to learn about sanctions against Russian citizens,website
esélytelenek vagytok,you are unlikely,politics
"Spalvas, dizaino patrauklumą, informacijos akyualumą.","Colors, design attractiveness, information eye.",information
Stop being fascist pigs who sopport the genocide that is Israel doing in Gaza. Bring Netanyahu to court for crimes against humanity.,Stop being fascist pigs who sopport the genocide that is Israel doing in Gaza. Bring Netanyahu to court for crimes against humanity.,politics
"Anschaulicher, mehr Slide Effekte würden sie attraktiver machen","More descriptive, more slide effects would make you more attractive",politics
ES GIBT JETZT VIEL ZU VIEL TEXT! AUF DIE WESENTLICHEN INFOS REDUZIEREN! VIEL ZU AUFGEBLÄHT!,There is now far too much text! Reduce to the essential information! Much too bloated!,information
ei tea,no tea,nothing
Ahm... Chiudete il sito. Piangere e ... Ahm,Ahm ... close the site. Cry and ... ahm,eu
"Mehr in der Öffentlichkeit sein. Google kann das, warum Ihr nicht!",Be more in public. Google can do so why you don't!,eu
Der gürtel muss enger geschnallt werden,The belt must be strapped closer,politics
Nikad više ne bih pogledao ništa što je vezano za EU,I would never look at anything related to the EU again,politics
Anderes Thema Ich bin nur hier wegen der Schule und werde hier nie wieder hinkommen,Another topic I am only here because of the school and will never get back here,politics
Defender los verdaderos intereses de una Europa independiente independiente.,Defend the true interests of an independent Europe.,website
Dismantle the EU ideology. It’s a failed project. Long live sovereignty.,Dismantle the EU ideology. It’s a failed project. Long live sovereignty.,eu
Dismantle the WHO,Dismantle the WHO,nothing
A spine to stand against Israel in the Council's backs.,A spine to stand against Israel in the Council's backs.,politics
Stop being colonial racist and support human rights,Stop being colonial racist and support human rights,politics
Free Palestine,Free Palestine,eu
"Nechci vyplňovat dotazník když se omylem překliknu, dík ;)","I do not want to fill in the questionnaire When I accidentally click, thanks;)",website
Много лъжете !,Ly a lot!,nothing
Prosty język wyraźne działania efekt prac,Simple language clear actions effect of work,nothing
Die Seite ist in Ordnung. Die politischen Ansichten sind eher das Problem,The page is fine. The political views are more of the problem,page
Nezajímám se tolik o fungování Evropské rady a EU takže asi nic.,I don't care so much about the functioning of the European Council and the EU so probably nothing.,eu
"Sie spielt für mich keine Rolle, außer ich habe ein Referat oder eine Recherche zu betreiben.",She doesn't matter for me unless I have a presentation or research.,page
Vertrauen,Trust,website
"Je n'en sais rien, La pop-up s'est ouverte 10 secondes après que je sois arrivée sur la page, je n'ai rien eu le temps de lire","I don't know, the pop-up opened 10 seconds after I arrived on the page, I had nothing time to read",nothing
keine Waffen mehr finanzieren,No more weapons finance,politics
Latviešu valodā un pārskatāmāku,In Latvian and more transparent,website
Nix,Nix,nothing
Des informations sur le recrutement,Recruitment information,information
idk,idk,nothing
"Пиздец, ну и название у вас. Самим-то не тошно?","Fucked, well, you have a name. Is it not sick yourself?",politics
"Ich bin über Linkedin auf die Seite gekommen. Bitte weiterhin auf Social Media Plattformen Content teilen, inkl. Verlinkung zur Website.","I came to the site via LinkedIn. Please continue to share content on social media platforms, including link to the website.",website
Visa-free travel for African countries!,Visa-free travel for African countries!,eu
żadne,none,nothing
Besser aussehen,To look better,website
"Ich kann mich nicht anmelden, da angeblich mein Webbrowser irgend etwas blockiert, das ich nicht aufheben kann. Somit hat sich der Besuch erledigt. Schade eigentlich.",I cannot register because my web browser allegedly blocked something that I can't pick up. So the visit has been done. Too bad.,website
"Mehr Transparenz über die Tätigkeit von Frontex im Mittelmeer. Wie viele Menschen verlieren ihr Leben aufgrund von unterlassener Hilfeleistung? Wie ist die Zusammenarbeit mit privaten unabhängigen Hilfsorganisationen? Warum gibt es keine sinnvollen legalen Migrationswege für Menschen, die sich über das Mittelmeer auf den Weg nach Europa machen? Wie können Sie ruhig schlafen angesichts der steigenden Abschottung Europas vom Rest der Welt, obwohl europäische Staaten in vielen Konflikten die Hauptverursacher sind. Wenn Sie es schaffen, das alles transparent darzustellen, dann besuche ich vielleicht diese Seite häufiger in Zukunft.","More transparency about Frontex's activity in the Mediterranean. How many people lose their lives due to failure to help? What is the collaboration with private independent aid organizations? Why are there no sensible legal migration paths for people who make their way to Europe via the Mediterranean? How can you sleep calmly in view of the increasing isolation of Europe from the rest of the world, although European countries are the main causers in many conflicts. If you manage to present all of this transparently, then I may visit this page more often in the future.",eu
j,j,nothing
Solo dopo aver verificato che le belle parole sono seguite da risultati apprezzabili,Only after checking that the beautiful words are followed by appreciable results,politics
"Zrušení, omezení EU na obchodní alianci","Cancellation, EU restrictions on business alliance",eu
Artikel 5 des Grundgesetzes für die Bundesrepublik Deutschland EU verhängt Sanktionen gegen die Sendetätigkeiten der staatseigenen Medien RT/Russia Today und Sputnik in der EU,Article 5 of the Basic Law for the Federal Republic of Germany EU impose sanctions against the sending activities of the state -owned media RT/Russia Today and Sputnik in the EU,website
НЕнужно и НЕпрактично дадена информмация!,Unnecessary and impractical information!,information
"Cookie-Regelung intransparent, unübersichtlich - und das als EU-Institution","Cookie regulation non-transparent, confusing-and that as an EU institution",website
Mettre des meufs à oilp,Oilp mildew,page
Insgesamt ist der Zeitaufwand der Recherce und des Lesens der komplexen Themen sehr hoch. Texte sind zum Teil komplex und langwierig zu lesen,"Overall, the time required for the research and reading the complex topics is very high. Texts can be read in part complex and lengthy",politics
"Nesrat se do věcí ,kterém nerozumíte. Green del ,financování teroristů apod.","Don't get into things you don't understand. Green del, terrorists, etc.",politics
Sprechen Sie doch wie Menschen. Mehr Infografiken,Talk like people. More infographics,politics
"Att ni tar sikte på FRÅGOR AV BETYDELSE och inte på internt navelskåderi. Jag skiter väl i HUR ni arbetar. Det är VAD ni gör som spelar roll, och ni verkar med förlov sagt helt verklighetsfrämmande ...","That you are aimed at issues of importance and not at internal navel. I shit well in how you work. It is what you do that matters, and you seem to have a promise of all the reality -alien ...",politics
"Wenn auf der Website keine Aufforderungen an die europäischen Zollbehörden mehr stehen, Privatpersonen aus Russland Kleidung und sonstige persönliche Gegenstände zu stehlen.",If there are no more requests to the European customs authorities on the website to steal private individuals from Russia clothing and other personal objects.,website
"mehr Struktur, Verantwortlichkeiten um Nachfragen zu Inhalten zu stellen","More structure, responsibilities to ask questions",eu
Mehr Informationen,More information,information
"Navstevujem stranky podla potreby, takze ak to nepotrebujem nepridem sem","I am visiting the pages as needed, so if I don't need it I don't come here",page
"You say 21 people are blocked, but then you don't say who they are. That's idiotic.","You say 21 people are blocked, but then you don't say who they are. That's idiotic.",politics
Herramientas de IA hacia la WEB 4.0 (mundos virtuales),IA tools towards web 4.0 (virtual worlds),politics
Se cambia il passo di governance,If the governance pass changes,politics
"Sivusto listaa neuvoston päätöksiä päätösten perään, mutta missään ei auteta kansalaista kertomalla mitä päätökset tarkoittavat, ja miten ne kansalaisen elämään vaikuttavat.","The site lists the council's decisions after decisions, but nowhere is the citizen helping to say what the decisions mean and how they affect the life of a citizen.",eu
Najlepiej jakby Was nie było,It's best if you weren't,page
Pentru a lucra legal în italea,To work legally in Italea,website
Szünjön meg,To stop,nothing
Vaffanculo l'Unione Europea. W gli Stai liberi e sovrani! FORZA ITALIA!!! Morite merde!,Fuck the European Union. W you are free and sovereigns! Forza Italia !!! Dieva shit!,eu
istinu umjesto propagandnih pamfleta,truth instead of propaganda pamphlets,nothing
Nezinu,I do not know,nothing
Der europäische Rat sollte weniger Migrationsunfreundliche Entscheidungen treffen,The European Council should make less migration -free decisions,eu
"Les politiciens de l'UE devraient travailler pour les européens, pas les lobbies","EU politicians should work for Europeans, not lobbies",eu
Può darsi mantenersi il più obiettivi possibile nella gestione di criticità che investono l'UE,It may be kept as objective as possible in the management of critical issues that invest the EU,nothing
Nie mam pojęcia co macie za cel?,I have no idea what your goal is?,politics
More informative data-backed news and fewer public release statements.,More informative data-backed news and fewer public release statements.,website
Brak manipulacji,No manipulation,politics
More Info about national travelling restrictions,More Info about national travelling restrictions,page
Tydligare info för vanliga medborgare,Clearer info for ordinary citizens,page
je ne sais pas si il existe une application avec des actu mais ca pourrait être plus dynamique,I don't know if there is an application with news but it could be more dynamic,website
Una pagina web de noticias facial y renovada continuamente,A continuously facial and renewed news website,website
"En löydä tietoa! Yritän selvittää, ketkä maat ovat käyneet liittymisneuvotteluita. Kapulakieltä liikaa! Selittää käsitteet auki!",I can't find information! I will try to find out which countries have undergone accession negotiations. Too much staple language! Explain the concepts open!,information
la reale applicazione dei vari accordi presi dai paesi UE,the real application of the various agreements taken by the EU countries,eu
"Sie sollte nicht nur die Webseite des Rates sein, weil ich die sonst nicht mehr brauche.",It shouldn't just be the website of the council because I would otherwise no longer need it.,website
None I d'ont care,None I d'ont care,nothing
desaparecer,to vanish,nothing
"Que sus observaciones sean imparcial de los acontecimiento que se estan dando en este País. Todos nuestros problemas los resolvemos nosotros sin ingerencia de ninguna clase. Las elecciones se llevaron muy ordenadamente, pero a lo interno es otro percepción. Hay un Felito Penal, habría que resolverlo y ver su resultado para poder opinar. No es permitido manipular la Institucionalidad y el Estado de Derecho. Guatemala se resñeta, como guatemala respeta lo extranjero, somos Soberano Libre e Independiente, faltarnos es violentar la Autodeterminacion de los Pueblos","That your observations are impartial of the events that are being given in this country. We are solved by all our problems without any kind. The elections took themselves very neatly, but internally is another perception. There is a criminal felit, it would be necessary to solve it and see its result to comment. It is not allowed to manipulate institutionality and the rule of law. Guatemala is restored, as Guatemala respects the foreigner, we are free and independent sovereign, missing ourselves is to violate the self -determination of peoples",politics
Que se soit plus intéréssant.,That it is more interesting.,survey
Tornerei se non leggessi solo propaganda nato,I would come back if I did not read only born propaganda only,politics
A Tanács kirugása!Élén a az impoten vezetőivel.,The council is head!,eu
"il faut se mettre à la place des utilisateurs, rendre l'utilisation plus universelle et ergonomique","You have to put yourself in the place of users, make user and ergonomic use",page
"que se puedan ver videos en diferido de las reuniones. tampoco se que respuesta dar. He entrado por curiosidad , contando con la reunión de jefes de Estado en Granada","that you can see videos in deferred of the meetings. I don't know what a response to give. I have entered out of curiosity, with the meeting of state leaders in Granada",website
